Year,Liaoning,Jilin,Heilongjiang
1981,2.233792798059873,2.343862314342298,2.3587606610700917
1982,1.2895532101424532,1.1991843809537348,1.148814305791142
1983,-0.9249720991849874,-0.751881388015309,-1.3956610649033496
1984,-0.11841356205380221,-0.19139527347678603,-0.24470521903767192
1985,-0.5625987508220914,-0.48753420738165476,-0.49663750704654924
1986,-1.0271743843169097,-0.9065347614695396,-0.76352122277625
1987,-2.289555824218291,-1.9933211774769504,-1.613722833434327
1988,-0.526621849724705,-1.076355147305615,-1.1525429451162412
1989,0.6844869033829274,0.6801814628253562,0.6415918474865951
1990,0.24964700335515896,0.2359120791697256,0.49905178673423617
1991,0.20831942022355224,0.30355768806196276,0.7359036940496204
1992,-1.587088009600836,-2.0268423683419585,-1.971734684718367
1993,-0.6696988793460451,-1.0714681079586885,-1.1829501610590907
1994,0.09447285078208385,-0.07314701217218436,-0.40990018835015996
1995,-0.12256539474853341,-0.3941916784005584,-0.23044578403030874
1996,-0.7357423467968656,-0.6524446154017403,-0.23075354691482192
1997,-0.8488774072481837,-0.2672346182778729,-0.3357580784602969
1998,0.6980342367254332,1.2712142559346389,1.086035810942198
1999,1.0427260226380812,0.587595986459862,0.41173590638144636
2000,0.7379292127987673,1.2625348889483476,1.3448522285338205
2001,1.1799564537032388,1.2027354656328362,1.0449814952949867
2002,1.3246737878662735,1.3997101469315043,1.077438889153698
2003,1.0133267376215764,1.1315253927321334,1.3083293671589606
2004,1.6441994992337956,1.1929780316983007,0.6469691155601514
2005,-0.08249991583446592,0.14700143158036394,0.20759131234204117
2006,-0.7517685382983424,-0.7883691385539796,-0.7219795839226963
2007,0.9366798020156905,0.6025765335278859,0.4067166746396941
2008,0.5419410284953624,0.4833515178665912,1.1938421321118218
2009,0.0229673518323538,0.15847321845986181,0.41594254578863515
2010,-1.2897534790966159,-1.434261882587031,-1.5603069963875755
2011,-0.8870854775722485,-0.48099459600579747,0.027871782135002007
2012,-0.45497308921604784,0.060237148135669195,0.28921138133103574
2013,-1.464140311195892,-1.3299128920006855,-1.3066260339664981
2014,-0.4710345462981658,-0.7741742816985012,-1.1600259602420298
2015,-0.08284987364159534,0.03814124160236783,-0.15065054258833618
2016,0.9947074203380033,0.3992899616614123,0.08228141644939187
