Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1979,19.273794433448515,25.2095859777678,11.336183513480641,10.594643249028454,15.240601344373008,11.74657604238068,5.468279395566321,7.300171328410478,8.381719062227424,19.07679744723345,17.01598198210052,17.36171405820308
1980,12.757370471709066,11.121855606728484,10.678563152803575,10.723064173317965,17.44854679799594,12.139360754124647,5.783200836698925,7.311219393591921,9.96919723022467,9.31185889448496,22.749726994792482,18.111741257399625
1981,11.25066697784241,9.873852937795144,18.831321654189104,21.25640215107982,18.29162973314407,6.139988084144134,3.697197511851682,0.6659254730825239,11.312148336288159,7.590374767541951,8.197094064775078,19.428908276489576
1982,19.26056804509784,16.02406295822729,11.843156823826043,19.417098947138125,11.226777811577433,8.123746712203735,1.924165272177895,8.266778166104123,15.052096827697302,21.15624115187389,19.10537743817322,20.115197575901856
1983,19.508548958407886,12.987996441182101,15.049927131970382,10.412076404557547,10.57247454824716,1.181156948948344,5.777781602713883,9.457231068892865,5.247037318357389,18.254393975146126,26.263756949983737,20.53132542270374
1984,10.14267663900651,8.322651737821213,10.002053317229505,16.311353402368724,10.343635343987419,3.545745664711413,-0.5144016867455078,7.90450567737616,4.855842750753327,16.719589264559865,17.968206162715617,7.4826019571844435
1985,14.818680458963966,5.349588918837219,10.639608005600586,14.23868191717834,12.482318481836334,1.5203690588609573,7.412623480151852,10.047564804217552,8.940620499178975,13.722416289748452,9.465060318641003,13.274775965409653
1986,16.422304641584994,19.17506099909894,16.260967684280477,14.64147747235801,16.182480838843095,11.258809786012591,5.962514886313241,6.824940108208005,22.202736099402816,13.951203248839768,12.700998658183265,22.922052215339754
1987,21.872663644779852,15.149885570233145,8.048209324339934,12.66052763877739,10.803594913914031,13.190164171026488,3.5684863475362363,7.200986025849104,10.62212288566725,7.8804344507875586,12.073578143185884,18.610160219695267
1988,13.330927250180125,10.12931368577956,10.725493079813116,25.280606538311776,8.835583382001152,9.948993772618358,1.4542691676627866,7.9700674414590145,14.260133591439807,19.689700995090913,23.829983766278605,14.730186760029689
1989,18.88304021124899,17.581146470542016,15.01205617555816,11.383687349145859,10.290185161068308,9.326609224370122,6.747239892965428,11.24920742088767,10.09122069598027,16.156111715018145,15.463929051766362,21.424642001265525
1990,15.317802947523226,16.643494730110202,21.935545292863917,11.788682585949669,21.463400061251043,7.78750258407832,1.4703954534030788,5.357528237599826,11.391580074782073,21.093019693598272,24.346325786934912,19.805283379685125
1991,11.831764982114588,16.529188908848287,10.199054637012996,10.939783300548198,9.97626632802588,8.104673074736981,4.704857780811528,7.636164911134762,5.856421225875387,21.66585299297239,18.546943257488984,17.83676719830301
1992,21.547174267467888,16.39155862079963,13.327689773157084,18.202816849633503,12.844020360599956,12.144613001793148,7.022749745263586,3.3949281503927398,4.5815083548154245,23.604876813183548,22.05722424070672,18.23461757278289
1993,15.881230084913632,15.656780440757844,14.272590754945508,15.361015854608866,12.46917803341154,5.474173538090963,3.9068149129629948,8.238152832596597,11.194863928082318,22.147707232320396,10.160363527483053,14.777007439781919
1994,17.468199199460745,15.34390406649186,15.28127287131601,15.136304573495028,14.5697274758001,11.234728442292983,0.15704705871554756,4.412056657273809,11.10789704626661,17.622817913377883,23.527238513824397,11.547242960847175
1995,16.40704026252165,15.17741095500117,16.500282740091663,9.66179574228461,7.565825063864563,12.162443774642924,4.79389524096041,6.790578765901635,12.161832312248675,21.94296546971176,25.50552899218354,21.854772657271738
1996,12.226393449999394,14.464004740291456,7.280718824278033,13.593339115021996,14.149601762993198,6.915547648594298,4.018856295254508,14.282426178232797,15.285688212904152,13.107159072992827,10.29349268594805,14.708035423071268
1997,19.004154431613088,20.06452775787211,20.312630491072767,19.807840616337923,17.430117319576755,14.047004988311127,9.937935772957431,11.166784983009567,5.45517787577419,18.961235655013574,20.71905692284496,18.59503486279857
1998,10.478190382934278,23.984143486242747,14.408293229861721,18.839459739140345,12.609520354990496,7.883240581306367,5.903525355773109,6.062164520600739,18.64741348004867,22.200500296365448,11.65507203686767,19.83353496261659
1999,11.158839074341486,13.283627374327997,3.3791853689347886,14.294611537905915,12.91804956537942,9.15587230396125,7.836818387338423,15.304750435515164,6.83521983951633,12.63863949017822,12.881626538638988,16.292067706971054
2000,12.45115446478921,14.079641673471103,13.867235068951022,18.611676528916576,11.531433258913479,12.17661389288557,7.216823798432691,10.45182366810104,14.713854078620388,7.854081133534546,9.864675214804556,10.745015857234696
2001,11.81672925383936,10.943291437519614,16.12376434769897,17.88273612976914,16.026846075146942,6.741408513373272,4.633231585682662,7.064740804558608,8.676871636686524,15.52882677079768,18.47853571340825,11.965359679160118
2002,22.036521682270212,20.009579731329723,17.99291125904325,12.425601849428059,14.36429030196926,6.924643022171431,8.273282882395671,11.892963599752342,20.893445372464335,11.492606198568158,15.258488286683844,15.673820098853485
2003,21.92177412837071,18.327341671226275,19.191959779642907,14.956794141787016,11.963275270849024,6.5244710064844496,5.580926952235306,2.631399689453035,10.222089396177314,16.11897125668032,10.882533681113774,19.70347500164371
2004,14.46241533800194,13.714170480608564,12.152505309545552,20.616173111588257,13.932213547968502,9.308941160259344,5.94607789374296,13.242749625365223,12.599893808834942,19.926530393899387,17.968391221345076,11.027705426098331
2005,8.765028299917196,8.676212487881104,21.501335109523147,17.660139313097314,5.197297478088473,7.710786697015151,5.744664900782744,8.947889325761466,8.526791820493429,19.228931452403987,13.644133741533375,7.752577874124304
